,Count,roc_auc_train_H_PWM,roc_auc_train_H_PWM_di,roc_auc_test_H_PWM,roc_auc_test_H_PWM_di,roc_auc_test_M_PWM,roc_auc_test_M_PWM_di,roc_auc_train_H,mean_auc_train_H,median_auc_train_H,std_auc_train_H,roc_auc_test_H,mean_auc_test_H,median_auc_test_H,std_auc_test_H,roc_auc_test_M,mean_auc_test_M,median_auc_test_M,std_auc_test_M,pr_auc_train_H,mean_pr_auc_train_H,median_pr_auc_train_H,std_pr_auc_train_H,pr_auc_test_H,mean_pr_auc_test_H,median_pr_auc_test_H,std_pr_auc_test_H,pr_auc_test_M,mean_pr_auc_test_M,median_pr_auc_test_M,std_pr_auc_test_M,pr_auc_train_H_PWM,pr_auc_train_H_PWM_di,pr_auc_test_H_PWM,pr_auc_test_H_PWM_di,pr_auc_test_M_PWM,pr_auc_test_M_PWM_di,TF_name,Model,PWM,Seq_count,PR_delta_M,ROC_delta_M
118,23,0.7433548237807048,0,0.7742587300377652,0,0.463638794954158,0,0.868387255250979,0,0,0,0.8854372639672137,0,0,0,0.4077516867897727,0,0,0,0.372649535745617,0,0,0,0.389121399100938,0,0,0,0.1294377849870054,0,0,0,0.1747178618840091,0,0.1803593425706149,0,0.0357921661669514,0,ZNF234,LogisticRegression,mono,,-0.0357921661669514,-0.463638794954158
119,22,0.7767416824245272,0,0.7804516650046901,0,0.9573749226845708,0,0.7858352859750171,0,0,0,0.823834819659441,0,0,0,0.9645991874316492,0,0,0,0.1109721941080735,0,0,0,0.395478934412117,0,0,0,0.4826669119280691,0,0,0,0.0970406630808909,0,0.3723377005247186,0,0.3323417596476281,0,TIGD3,LogisticRegression,mono,70744.0,-0.3323417596476281,-0.9573749226845708
127,23,0.901266203522243,0,0.913015771435086,0,0.6160741519927978,0,0.911504400073772,0,0,0,0.9262614614520792,0,0,0,0.6221635580062866,0,0,0,0.3968122472439331,0,0,0,0.3740110280708324,0,0,0,0.0174146285126238,0,0,0,0.2410159672015937,0,0.2216405742717215,0,0.0185360691535201,0,RLF,LogisticRegression,mono,,-0.0185360691535201,-0.6160741519927978
128,20,0.8983206840332837,0,0.917787901292612,0,0.9551079662525928,0,0.904027106658303,0,0,0,0.9230816251560466,0,0,0,0.965197876181812,0,0,0,0.1705724468454297,0,0,0,0.4182165403017397,0,0,0,0.5766123591591901,0,0,0,0.1483938993828824,0,0.3822674703307072,0,0.5702270107259109,0,ZNF367,LogisticRegression,mono,,-0.5702270107259109,-0.9551079662525928
129,23,0.8353566826010841,0,0.8600606009782459,0,0.9302583776158388,0,0.8551140705701421,0,0,0,0.8884609596201292,0,0,0,0.9449633172058198,0,0,0,0.0969257294298281,0,0,0,0.2949827071384951,0,0,0,0.5141949246963887,0,0,0,0.0717367044232843,0,0.2107234036369818,0,0.3742431814429874,0,MSANTD1,LogisticRegression,mono,,-0.3742431814429874,-0.9302583776158388
130,24,0.7464504202576816,0,0.78771870809694,0,0.9512478492322024,0,0.7536777651500122,0,0,0,0.7905569428241285,0,0,0,0.9523160538663512,0,0,0,0.2957355437383092,0,0,0,0.4455931629882697,0,0,0,0.8712186352699279,0,0,0,0.2944813029033823,0,0.4463318228559527,0,0.8780307497003373,0,ZBTB40,LogisticRegression,mono,,-0.8780307497003373,-0.9512478492322024
131,30,0.5947052252617028,0,0.5970975009728461,0,0.6450522253069395,0,0.6309310754811011,0,0,0,0.6240283636094272,0,0,0,0.7083536522875099,0,0,0,0.0163969618489889,0,0,0,0.0233670016499678,0,0,0,0.0232627453305223,0,0,0,0.0158377557196667,0,0.0251492852942542,0,0.0197687047961817,0,MKX,LogisticRegression,mono,,-0.0197687047961817,-0.6450522253069395
132,37,0.9647407999883024,0,0.9701583212209596,0,0.9450522137217484,0,0.9663622437547236,0,0,0,0.971564182216312,0,0,0,0.9520112349223578,0,0,0,0.444372015100421,0,0,0,0.7836749637613194,0,0,0,0.2386404411994526,0,0,0,0.4007425160362806,0,0.7595740128724929,0,0.1907929374874574,0,ZNF362,LogisticRegression,mono,80770.0,-0.1907929374874574,-0.9450522137217484
140,23,0.7257732458617195,0,0.7170007066410988,0,0.5308710237887557,0,0.8164531051461483,0,0,0,0.8051918086044428,0,0,0,0.5374739338913868,0,0,0,0.0857137720874869,0,0,0,0.1340495541810462,0,0,0,0.0107367107017902,0,0,0,0.0592733736066821,0,0.0872417829510847,0,0.0131378999364044,0,PAX7,LogisticRegression,mono,26424.0,-0.0131378999364044,-0.5308710237887557
148,35,0.8391107997606314,0,0.6894414083804665,0,0.8186706424423174,0,0.8738895242181511,0,0,0,0.7294247095952213,0,0,0,0.8754775399517022,0,0,0,0.1340724840055616,0,0,0,0.033820773446782,0,0,0,0.2498682749990247,0,0,0,0.0769259202379471,0,0.0236583558307488,0,0.1663953926118646,0,ZNF48,LogisticRegression,mono,3301.0,-0.1663953926118646,-0.8186706424423174
156,28,0.747778953231579,0,0.6978041027386981,0,0.6460907383786848,0,0.8263702887925412,0,0,0,0.7584292359824648,0,0,0,0.7055068381519275,0,0,0,0.0543755057071352,0,0,0,0.0285167551268794,0,0,0,0.0339036773450176,0,0,0,0.0272806503092713,0,0.0209113409340922,0,0.0236859448854901,0,SP100,LogisticRegression,mono,,-0.0236859448854901,-0.6460907383786848
157,23,0.7845622832170005,0,0.7800906691807963,0,0.8419637222388276,0,0.8212660270241924,0,0,0,0.8159727117826414,0,0,0,0.8706352027303528,0,0,0,0.1254848728921542,0,0,0,0.133444233449432,0,0,0,0.377231973489491,0,0,0,0.0571129347675192,0,0.0591020764692701,0,0.2265650129836442,0,GABPA,LogisticRegression,mono,,-0.2265650129836442,-0.8419637222388276
158,31,0.7395997765346456,0,0.7814519942282402,0,0.8530628990597092,0,0.7715962910192522,0,0,0,0.8058946722036358,0,0,0,0.89368261153181,0,0,0,0.1059970742699184,0,0,0,0.1838719770963676,0,0,0,0.3802844505092881,0,0,0,0.0835842847277901,0,0.1472372169612784,0,0.2878381853135243,0,ZNF347,LogisticRegression,mono,,-0.2878381853135243,-0.8530628990597092
